"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","宮原","","282","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","284","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","1135","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1136","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1138","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1140","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1184","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1188","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1189","9","-67367.1","-39295","35.391999","139.400768","0","1","0","0"
"神奈川県","藤沢市","宮原","","1087","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1088","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1089","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1090","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1091","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1093","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1116","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1118","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1119","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1121","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1123","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1125","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1126","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1127","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1128","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1129","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1130","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1131","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1132","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1134","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1146","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1149","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1151","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1176","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1177","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1178","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1180","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1181","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1182","9","-67492.6","-39284.1","35.390868","139.400895","0","1","0","0"
"神奈川県","藤沢市","宮原","","1752","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1753","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1765","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1766","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1773","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1775","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1788","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1789","9","-66513.3","-39250.9","35.399697","139.401213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1675","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1676","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1677","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1680","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1681","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1683","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1688","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1706","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","1707","9","-66786.5","-39225","35.397235","139.401511","0","1","0","0"
"神奈川県","藤沢市","宮原","","285","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","287","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","291","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","293","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","294","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","295","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","297","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","300","9","-67108.7","-39244.1","35.39433","139.401316","0","1","0","0"
"神奈川県","藤沢市","宮原","","1201","9","-67241.2","-39199","35.393138","139.401819","0","1","0","0"
"神奈川県","藤沢市","宮原","","1212","9","-67241.2","-39199","35.393138","139.401819","0","1","0","0"
"神奈川県","藤沢市","宮原","","1214","9","-67241.2","-39199","35.393138","139.401819","0","1","0","0"
